player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jordan McRae,mcraejo01,2020,1709,784,0.58103957,-3.362454789,-2.781415219,-0.874441598,-0.164424201,-1.038865798,0.317928231,-2.836252311,-2.51832408,0.060893976,0.060893976,0,-0.145511375,-3.433351613,-3.578862989,0.350571501
Nicolo Melli,mellini01,2020,1928,889,-1.252814105,-0.359354936,-1.612169041,-3.082137715,-2.100379322,-5.182517038,-1.738113527,-0.733110556,-2.471224082,0.1267577,0.1267577,0,-0.681192901,-0.529181899,-1.2103748,0.253166312
De'Anthony Melton,meltode01,2020,2228,1011,-0.111623854,1.266438023,1.15481417,3.802676965,3.231765396,7.034442361,0.717140633,1.754220556,2.471361188,2.714328398,2.714328398,0,0.200758407,1.804303609,2.005062016,0.798389828
Chimezie Metu,metuch01,2020,155,73,1.064760283,0.501028833,1.565789116,-3.494713837,2.058838063,-1.435875773,0.167802477,0.932156698,1.099959175,0.141567169,0.141567169,0,0.880015972,-1.630032522,-0.75001655,-1.296450854
Khris Middleton,middlkh01,2020,3679,1653,3.670113985,1.27913222,4.949246205,1.635437191,2.897528243,4.532965434,3.421165513,1.619059628,5.040225141,6.609250386,6.609250386,0,3.29925594,1.200674658,4.499930598,0.609688365
Eric Mika,mikaer01,2020,41,19,2.740181418,3.023306305,5.763487722,8.138944378,4.981381088,13.12032547,4.097383392,3.665291695,7.762675088,0.101666915,0.101666915,0,5.524842178,2.738973346,8.263815524,-0.241008022
CJ Miles,milescj01,2020,367,161,-0.269636828,2.232706147,1.963069319,1.503148684,-3.339484801,-1.836336116,0.075273495,1.284118573,1.359392067,0.341241274,0.341241274,0,-0.552019357,0.36057845,-0.191440907,1.113745324
Malcolm Miller,millema01,2020,267,125,-0.987457298,0.002435002,-0.985022295,5.316447156,4.893206112,10.20965327,0.227120538,0.9390768,1.166197339,0.248565323,0.248565323,0,-1.137549305,-0.085601972,-1.223151277,-0.485931291
Paul Millsap,millspa01,2020,2197,1075,-0.33462742,1.522896892,1.188269472,1.722906541,4.682565192,6.405471733,0.049266764,2.245811798,2.295078563,2.773767795,2.773767795,0,-0.219912295,2.203486187,1.983573892,0.247603923
Patty Mills,millspa02,2020,3104,1430,2.884460142,0.044420579,2.928880721,2.81456419,1.660715353,4.475279543,3.030283254,0.398623805,3.42890706,4.546237609,4.546237609,0,2.861081829,0.244572059,3.105653888,0.86394366
